"","DataZone2011Code","AGE0","AGE1","AGE2","AGE3","AGE4","AGE5","AGE6","AGE7","AGE8","AGE9","AGE10","AGE11","AGE12","AGE13","AGE14","AGE15","AGE16","AGE17","AGE18","AGE19","AGE20","AGE21","AGE22","AGE23","AGE24","AGE25","AGE26","AGE27","AGE28","AGE29","AGE30","AGE31","AGE32","AGE33","AGE34","AGE35","AGE36","AGE37","AGE38","AGE39","AGE40","AGE41","AGE42","AGE43","AGE44","AGE45","AGE46","AGE47","AGE48","AGE49","AGE50","AGE51","AGE52","AGE53","AGE54","AGE55","AGE56","AGE57","AGE58","AGE59","AGE60","AGE61","AGE62","AGE63","AGE64","AGE65","AGE66","AGE67","AGE68","AGE69","AGE70","AGE71","AGE72","AGE73","AGE74","AGE75","AGE76","AGE77","AGE78","AGE79","AGE80","AGE81","AGE82","AGE83","AGE84","AGE85","AGE86","AGE87","AGE88","AGE89","AGE90"
"309","S01006814",11,5,12,12,12,15,12,8,12,11,7,6,4,7,17,9,8,10,14,11,11,8,13,12,6,5,9,2,9,4,5,6,10,12,8,6,13,5,9,11,6,6,13,16,21,13,14,17,17,16,23,24,16,12,12,13,14,11,10,8,8,13,6,7,9,13,12,6,3,6,9,9,9,7,4,5,3,4,3,2,3,1,2,3,1,0,0,3,0,1,5
"310","S01006815",7,18,8,13,4,10,7,7,7,14,3,6,6,7,2,4,4,6,2,6,5,3,9,8,5,1,5,9,6,15,11,11,8,14,9,11,7,14,9,3,10,4,9,6,3,10,5,8,8,4,6,11,12,9,9,7,7,12,6,6,6,12,8,7,3,12,14,10,7,9,6,4,3,4,3,1,4,5,1,0,7,3,2,8,4,5,5,5,3,5,7
"311","S01006816",10,9,7,15,8,12,14,11,11,8,5,8,5,12,7,10,9,11,6,9,9,6,4,7,3,11,2,6,5,4,12,6,12,7,13,10,9,12,8,10,6,15,9,16,13,11,13,6,17,10,16,10,18,12,10,11,9,12,11,11,10,10,11,17,6,7,21,11,8,10,7,6,8,8,4,4,5,4,3,1,5,7,2,2,3,4,1,4,1,3,7
"312","S01006817",6,5,9,17,10,5,10,8,10,13,10,4,8,6,5,7,7,10,10,8,9,3,4,8,4,4,10,8,11,14,17,7,11,5,8,8,13,10,12,14,11,9,11,12,13,7,8,18,10,11,12,7,10,10,6,6,15,8,14,9,10,9,10,11,3,7,11,3,9,6,6,3,4,7,5,3,4,0,1,0,5,0,1,3,1,1,0,2,0,0,3
"313","S01006818",7,18,5,3,8,8,8,9,9,11,11,6,13,7,13,9,11,11,10,4,8,5,4,9,3,8,8,7,8,6,9,8,7,6,6,12,11,8,12,14,11,11,7,9,12,24,14,17,15,16,14,15,16,10,15,16,8,13,13,5,16,13,8,3,10,15,10,5,6,9,4,3,6,5,7,4,1,8,3,1,8,3,0,2,2,0,1,0,0,1,4
"314","S01006819",6,8,10,12,9,10,12,11,11,16,10,14,13,16,10,15,17,9,13,12,15,5,4,5,7,5,6,4,12,5,5,8,4,7,3,8,10,14,12,11,12,18,16,7,18,10,23,20,29,15,27,15,22,23,16,14,14,4,7,13,10,19,9,11,16,5,12,3,2,2,8,3,5,5,7,5,4,7,2,1,3,2,2,1,2,0,4,1,0,3,3
"315","S01006820",3,7,3,4,5,2,4,2,6,0,5,2,5,5,2,7,3,4,5,11,1,4,2,4,6,1,1,0,1,2,3,5,5,8,5,9,3,7,5,10,12,5,12,4,6,9,8,12,11,9,12,9,5,6,5,7,8,5,6,9,4,3,6,5,5,9,5,5,6,5,2,7,8,4,5,4,6,5,5,3,4,0,1,1,2,1,1,1,2,1,0
"316","S01006821",16,18,7,13,21,8,6,13,11,7,8,7,13,6,6,6,8,13,7,12,8,5,8,19,14,8,17,13,13,12,26,24,24,15,22,14,18,23,14,9,15,10,11,4,13,8,14,11,12,10,17,20,16,13,14,13,7,7,8,8,8,6,10,6,9,5,10,4,11,6,8,1,4,10,6,8,6,3,1,1,2,2,3,1,1,1,0,0,0,1,1
"317","S01006822",7,6,6,9,5,14,9,11,5,13,9,8,8,9,14,10,14,13,12,13,7,10,6,9,7,3,7,6,5,6,3,6,0,9,5,6,5,3,5,6,19,17,20,18,15,10,22,13,18,17,12,20,11,15,19,20,10,11,19,14,14,8,17,10,12,11,10,6,8,6,7,8,5,3,3,3,3,3,2,4,2,0,1,1,1,0,0,2,0,0,3
"318","S01006823",7,2,6,6,2,12,2,11,10,12,11,13,7,8,9,7,7,7,7,6,4,5,3,10,1,8,11,6,5,8,9,5,2,4,4,5,2,4,15,5,18,10,8,8,10,8,10,13,11,12,7,20,13,16,9,15,10,12,12,20,14,18,5,10,10,9,13,6,9,14,8,8,6,9,7,4,3,2,6,6,3,2,3,2,2,2,3,6,4,3,14
"319","S01006824",8,7,13,13,10,12,13,15,14,15,7,9,6,7,9,10,11,12,9,13,8,19,12,15,15,5,10,20,12,6,13,19,14,9,11,18,10,11,10,14,10,10,11,14,9,8,9,12,13,10,16,10,16,11,6,11,11,9,9,6,12,6,8,10,10,8,9,9,11,3,3,6,4,9,4,5,5,6,4,3,2,3,5,1,1,4,1,1,2,1,7
"320","S01006825",9,13,6,14,16,7,4,9,12,7,6,7,9,10,5,12,8,9,5,7,7,5,7,9,7,10,8,8,15,6,14,14,11,6,9,15,10,4,5,9,10,10,8,7,8,6,18,13,13,12,7,11,17,17,10,14,13,16,11,14,17,8,14,8,11,15,10,10,10,8,9,11,12,16,11,9,1,6,5,3,1,2,0,3,3,1,0,2,0,1,2
"321","S01006826",5,9,5,11,7,9,9,9,8,9,11,10,9,7,9,17,16,10,13,13,15,12,15,14,8,10,5,5,7,0,5,4,7,9,5,12,1,5,6,16,16,17,11,14,15,15,18,8,16,20,30,22,19,12,11,14,20,5,12,18,16,14,14,12,15,16,9,16,9,13,10,8,8,13,8,5,7,4,7,11,8,6,5,4,4,5,6,3,5,4,16
