"","dz2011","simd2020_inc_rate"
"858","S01007363",0.12
"859","S01007364",0.27
"860","S01007365",0.13
"861","S01007366",0.33
"862","S01007367",0.23
"863","S01007368",0.29
"864","S01007369",0.17
"865","S01007370",0.18
"866","S01007371",0.1
"867","S01007372",0.08
"868","S01007373",0.06
"869","S01007374",0.07
"870","S01007375",0.09
"871","S01007376",0.19
"872","S01007377",0.04
"873","S01007378",0.01
"874","S01007379",0.12
"875","S01007380",0.07
"876","S01007381",0.03
"877","S01007382",0.05
"878","S01007383",0.07
"879","S01007384",0.05
"880","S01007385",0.05
"881","S01007386",0.03
"882","S01007387",0.01
"883","S01007388",0.02
"884","S01007389",0.1
"885","S01007390",0.12
"886","S01007391",0.01
"887","S01007392",0.03
"888","S01007393",0.06
"889","S01007394",0.06
"890","S01007395",0.2
"891","S01007396",0.18
"892","S01007397",0.09
"893","S01007398",0.23
"894","S01007399",0.29
"895","S01007400",0.13
"896","S01007401",0.04
"897","S01007402",0.01
"898","S01007403",0.04
"899","S01007404",0.07
"900","S01007405",0.02
"901","S01007406",0.02
"902","S01007407",0.03
"903","S01007408",0.12
"904","S01007409",0.11
"905","S01007410",0.22
"906","S01007411",0.27
"907","S01007412",0.13
"908","S01007413",0.04
"909","S01007414",0.02
"910","S01007415",0.24
"911","S01007416",0.33
"912","S01007417",0.02
"913","S01007418",0.19
"914","S01007419",0.24
"915","S01007420",0.05
"916","S01007421",0.06
"917","S01007422",0.08
"918","S01007423",0.07
"919","S01007424",0.04
"920","S01007425",0.13
"921","S01007426",0.18
"922","S01007427",0.17
"923","S01007428",0.17
"924","S01007429",0.13
"925","S01007430",0.08
"926","S01007431",0.03
"927","S01007432",0.1
"928","S01007433",0.12
"929","S01007434",0.23
"930","S01007435",0.12
"931","S01007436",0.27
"932","S01007437",0.19
"933","S01007438",0.18
"934","S01007439",0.12
"935","S01007440",0.16
"936","S01007441",0.03
"937","S01007442",0.02
"938","S01007443",0.06
"939","S01007444",0.05
"940","S01007445",0.03
"941","S01007446",0.01
"942","S01007447",0.03
"943","S01007448",0.04
"944","S01007449",0.17
"945","S01007450",0.19
"946","S01007451",0.1
"947","S01007452",0.12
"948","S01007453",0.03
"949","S01007454",0.16
"950","S01007455",0.22
"951","S01007456",0.23
"952","S01007457",0.17
"953","S01007458",0.05
"954","S01007459",0.07
"955","S01007460",0.21
"956","S01007461",0.35
"957","S01007462",0.19
"958","S01007463",0.41
"959","S01007464",0.28
